article_id,prod_name,graphical_appearance_name
203595058,Bryn Flanel Check,Check
204892024,Frode outdoor beanie,Melange
204892029,Frode outdoor beanie,Melange
204892032,Frode outdoor beanie,Solid
205225001,PICKUP ARTIST top,Solid
211143021,Janet SL (W),Chambray
211143022,Janet SL (W),Stripe
211143023,Janet SL (W),Stripe
211143036,Janet SL (W),Solid
211143037,Janet SL-set (W),Stripe
211143040,Janet SL-set (W),Stripe
212042036,Mimmi sneaker,Solid
212042043,Mimmi sneaker,Solid
212042066,Mimmi sneaker,Solid
212042070,Mimmi sneaker,Solid
212629004,Alcazar strap dress,Solid
212629031,Alcazar strap dress,Solid
212629032,Alcazar strap dress,Solid
212629033,Alcazar strap dress,Stripe
212629035,Alcazar strap dress,Solid
212629036,Alcazar strap dress,Solid
212629040,Alcazar strap dress,Solid
212629043,Alcazar strap dress,Solid
212629047,Alcazar strap dress,Solid
212629048,Alcazar strap dress,Solid
212629049,Alcazar strap dress,Solid
212629050,Alcazar strap dress,Melange
212629051,Alcazar strap dress,Stripe
212766041,Dean Drawstring Trousers.,Solid
212766042,Dean Drawstring Trousers.,Solid
212766043,Dean Drawstring Trousers.,Solid
212766045,Dean Drawstring Trousers.,Solid
212766046,Dean Drawstring Trousers.,Solid
213690001,H-terry Basic 16-pack,Solid
213691001,H-string Jersey,Solid
213691073,H-string Jersey,Solid
213691075,H-string Jersey,Solid
213691080,H-string Jersey,Solid
213691083,H-string Jersey,Solid
214844001,30p pins,Solid
214844002,30p pins,Solid
214844003,30p pins,Solid
214844004,30p pins,Solid
214844008,30p pins,Solid
215248002,Bob v-neck tee,Solid
215303001,Coolio sunglasses,Solid
215303002,Coolio sunglasses,Solid
215303005,Coolio sunglasses,Solid
215324023,Classic Fancy pilot (1),Solid
215337001,Pamela tee,Solid
215337003,Pamela tee,Solid
215337038,Pamela tee,Melange
215337039,Pamela tee,Melange
215337059,Pamela tee,Melange
215337066,Pamela tee,Solid
215337067,Pamela tee,Solid
215589001,Mama 40 den 2p Tights,Solid
215589002,Mama 40 den 2p Tights,Melange
216081011,Norling Knit,Melange
216961011,4p Elastic Headband (1),Solid
217207045,2P SS PYJAMA,All over pattern
217207046,2P SS PYJAMA,All over pattern
217207047,2P SS PYJAMA,All over pattern
217207048,2P SS PYJAMA,Front print
217207055,2P SS PYJAMA,All over pattern
217727002,Polly 3p minishaftless,Solid
217727003,Polly 3p minishaftless,Solid
217727018,Polly 3p minishaftless,Solid
218354001,Beyonce cropped tank,Solid
218354020,Beyonce cropped tank,Melange
218354021,Beyonce cropped tank,Solid
218354045,Beyonce cropped tank,Stripe
218354047,Beyonce cropped tank,All over pattern
218829002,Paris glove.,Solid
218829014,Paris glove.,Solid
218829015,Paris glove.,Solid
219075014,Billy cargo pants,Solid
219075017,Billy cargo pants,Solid
219075021,Billy cargo pants,Solid
219075023,Billy cargo pants,Solid
219075028,Billy cargo pants,Solid
220094001,Aguilera maxidress,Solid
220094010,Aguilera maxidress,Solid
220094011,Aguilera maxidress,Stripe
220094015,Aguilera maxidress,All over pattern
220094016,Aguilera maxidress,Stripe
220094018,Aguilera maxidress,Solid
220094019,Aguilera maxidress,Stripe
220094020,Aguilera maxidress,Stripe
220094021,Aguilera maxidress,Solid
220365001,Cool Olja round,Solid
220365002,Olja sunglasses,Solid
220365004,Olja sunglasses,Solid
220365007,Cool Olja round,Solid
224314007,Pinocchio hat,Solid
224314011,Pinocchio hat,Solid
224314013,Pinocchio hat,Solid
224314016,Pinocchio hat,Melange
224314017,Pinocchio hat,Melange
224314018,Pinocchio hat,Solid
224337001,New Carrie Glove,Solid
224337008,New Carrie Glove,Melange
224521001,DERRIDA windstopper tights,Solid
224521007,DERRIDA windstopper tights,Solid
224606019,Flora hip belt (1),Solid
224606022,Flora hip belt (1),Glittering/Metallic
224606025,Flora hip belt,Solid
224606031,Flora hip belt (1),Glittering/Metallic
225286014,Gauss windproof zip top,Solid
225784001,HARLEY 2-pack basic tee,Solid
225784023,HARLEY 2-pack basic tee,Stripe
225784037,HARLEY 2-pack basic tee,Mixed solid/pattern
225784039,HARLEY 2-pack basic tee,Solid
225784040,HARLEY 2-pack basic tee,All over pattern
225784043,HARLEY 2-pack basic tee,Stripe
225784044,HARLEY 2-pack basic tee,Melange
225784045,HARLEY 2-pack basic tee,All over pattern
226011008,Flirty Maria 2p Hawaii,Solid
226959007,Astaire 1p Overknee,Solid
226959008,Astaire 1p Overknee,Melange
226959009,Astaire 1p Overknee,Melange
228257001,20 den 2p Tights,Solid
228257002,20 den 2p Tights,Solid
228257003,20 den 2p Tights,Solid
228257004,20 den 2p Tights,Solid
228257005,20 den 2p Tights,Solid
228257008,20 den 2p Tights,Solid
233091003,Magic Gloves 2pack,Solid
233091015,Magic Gloves 2pack,Solid
233091016,Magic Gloves 2pack,Solid
233091019,Magic Gloves 2pack,Glittering/Metallic
233091020,Magic Gloves 2pack,Glittering/Metallic
233091021,Magic Gloves 2pack,Solid
233091022,Magic Gloves 2pack,Solid
233672016,V-NECK LS SLIM,Stripe
234187001,Cap Paco Solid CO,Solid
234187030,Paco solid flatpeak,Melange
234421001,Mama 200 den Tights,Solid
234421002,Mama 200 den Tights,Solid
234421004,Mama 200 den Tights,Solid
234432001,Push Up 30 den 1p Tights,Solid
234432002,Push Up 30 den 1p Tights,Solid
234622003,RAF basic rollerneck SB 2-p,Solid
234622004,RAF basic rollerneck SB 2-p,Solid
234622007,RAF basic 2-pack rollerneck SB,Solid
235596002,Basic 4pk studs,Solid
235732024,Emma long-john PJ (K),All over pattern
235732026,Emma long-john PJ (K),Placement print
235732029,Emma long-john PJ (K),Melange
237032003,Fancy long Leg Leggings,Melange
237222001,Helsinki,Solid
237222012,Helsinki,Solid
237222016,Ingrid,Stripe
237347004,Theron,Solid
237347011,Theron (1),Melange
237347017,Theron (1),Melange
237347022,Theron,Solid
237347024,Theron (1),Melange
237347025,Theron,Melange
237347027,Theron (1),Melange
237347028,Theron (1),Melange
237347031,Theron (1),Melange
237347035,Theron (1),Solid
237347036,Theron,Melange
237347037,Theron (1),Melange
237347039,Theron,Melange
237347040,Theron,Melange
237347043,Theron,Melange
237347044,Theron (1),Solid
237347045,Theron (1),Solid
237347052,Theron,Solid
237347053,Theron,Solid
237347055,Theron (1),Melange
237347059,Theron (1),Solid
237347060,Theron (1),Melange
237347063,Theron (1),Solid
237347069,Theron (1),Solid
238197014,Lima l/s,Melange
238197030,Lima l/s,Solid
238197034,Lima l/s,Stripe
240561001,Support 70 den 1p Tights,Solid
240670058,Tess tee (1),Melange
240670060,Tess tee (1),Melange
240840032,BASIC JERSEY TIGHTS OC,Solid
241412034,AOP Leggings,All over pattern
241412037,AOP Leggings,Placement print
241412038,AOP Leggings,All over pattern
241412043,AOP Leggings,All over pattern
241412044,AOP Leggings,All over pattern
241412045,AOP Leggings,All over pattern
241412046,AOP Leggings,All over pattern
241412052,AOP Leggings,Glittering/Metallic
241436001,Fix it tote bag,Solid
241436006,Fix it tote bag,Solid
241486015,MILL blocking tights,Solid
241486016,MILL blocking tights,Solid
241590001,Matt black SF regular fit blz,Solid
241602003,Manson SF slim fit blazer,Solid
241602018,Manson SF slim fit blazer,Melange
241602023,Manson SF slim fit blazer,Melange
241602024,Manson SF slim fit blazer,Melange
241602027,Manson SF slim fit blazer,Other structure
241602028,Manson SF slim fit blazer,Solid
242354009,CALVIN running shorts,All over pattern
243613004,Minna highwaist leggings (1),Solid
243937001,Straight Edge 5p Socks,Solid
243937018,Straight Edge 5p Socks,Melange
243937023,Straight Edge 5p Socks,Melange
243937024,Straight Edge 5p Socks,Melange
243937025,Straight Edge 5p Socks,Contrast
243937028,Straight Edge 5p Socks,Contrast
244267001,Silver lake,Solid
244267004,Silver lake,Solid
244267017,Silver lake,Other pattern
244267021,Silver lake,Other pattern
244267027,Silver lake,Other structure
244267028,Silver lake,Other structure
244267029,Silver lake,Neps
244267032,Silver lake,Other pattern
244269018,Basic Henley body,Solid
244269019,Basic Henley body,Stripe
244269020,Basic Henley body,Stripe
244853002,Basic Hood,Melange
244853030,Basic Hood,Solid
244853032,Basic Hood,Solid
244853036,Basic Hood,Solid
245348002,Santa Hat,Placement print
247072018,2P SS Girly PJ,All over pattern
247072020,2P SS Girly PJ,All over pattern
247072022,2P SS Girly PJ,All over pattern
247072023,2P SS Girly PJ,All over pattern
247072025,2P SS Girly PJ,All over pattern
247072026,2P SS Girly PJ,All over pattern
247072031,2P SS Girly PJ,All over pattern
247072032,2P SS Girly PJ,All over pattern
249136006,Skinny Ankel Denim,Denim
249136011,Skinny Ankel Denim,Denim
249136015,Skinny Ankel Denim,Denim
249136019,Skinny Ankel Denim,Denim
249136020,Skinny Ankel Denim,Denim
249136022,Skinny Ankel Denim,Denim
249136023,Skinny Ankel Denim,Denim
249136025,Skinny Ankel Denim,Denim
249136028,Skinny Ankel Denim,Denim
249136034,Skinny Ankel Denim,Denim
250099001,Mama Heavy Plain 2p Tights,Solid
250099002,Mama Heavy Plain 2p Tights,Solid
250457010,Brandon denim cropped,Denim
251510001,Push up 70 den 1p Tights,Solid
252229001,Lory sweatpants (1),Solid
252298002,Didi denim,Solid
252298005,Danae jeans,All over pattern
252298006,Danae jeans,Solid
252298013,Danae jeans,All over pattern
252298014,Danae jeans,Solid
252298015,Danae jeans,Solid
252298016,Danae jeans,Solid
253176016,PICKUP ARTIST cheeky brief,Other structure
253448001,OP Push Melbourne^,Solid
253448002,OP Push Melbourne^,Solid
253448003,OP Push Melbourne^,Solid
253448056,OP Push Melbourne^,Solid
253448059,OP Push Melbourne^,Solid
253448062,OP Push Melbourne^,Solid
254303049,Bernard half calf socks,Placement print
254303050,Bernard half calf socks,Melange
254303051,Bernard half calf socks,Mixed solid/pattern
254303054,Bernard half calf socks,Stripe
254303055,Bernard half calf socks,Stripe
254303056,Bernard half calf socks,Stripe
254303057,Bernard half calf socks,Stripe
254303058,Bernard half calf socks,Colour blocking
254303059,Bernard half calf socks,Stripe
254457030,Basic SS dress,All over pattern
254457031,Basic SS dress,Stripe
254457033,Basic SS dress,All over pattern
254457034,Basic SS dress,All over pattern
254457037,Basic SS dress,All over pattern
254457038,Basic SS dress,All over pattern
254457039,Basic SS dress,All over pattern
254940026,Elsa high waist,Treatment
255396006,Nora Cardigan,Treatment
255396007,Nora Cardigan,Solid
255396010,Nora Cardigan,Treatment
255396018,Nora Cardigan,Treatment
255396023,Nora Cardigan,Solid
255396024,Nora Cardigan,Solid
255396025,Nora Cardigan,Treatment
255396033,Nora Cardigan,Treatment
255396042,Nora Cardigan,Treatment
256096022,Basic SS henley t-shirt,All over pattern
256096023,Basic SS henley t-shirt,Stripe
256151014,Superstretch Fancy denim,Treatment
256151015,Superstretch Fancy denim,Treatment
256511038,WIDEAWAKE triangle,All over pattern
256511039,WIDEAWAKE triangle,Contrast
256513038,WIDEAWAKE tie tanga,Other structure
257430026,ROMY 2p,All over pattern
257430027,ROMY 2p,All over pattern
257430029,ROMY 2p,All over pattern
257430030,ROMY 2p,Mixed solid/pattern
257430032,ROMY 2p,All over pattern
257430035,ROMY 2p,Mixed solid/pattern
257430036,ROMY 2p,Mixed solid/pattern
257667055,Lizzie,Melange
257667061,Lizzie,Solid
258650001,Berlin boot,Solid
260736025,NATE  basic S/S solid tee BB,Solid
260736026,NATE  basic S/S solid tee BB,Solid
260736028,NATE  basic S/S solid tee BB,Solid
260736029,NATE  basic S/S solid tee BB,Solid
260736030,NATE  basic S/S solid tee BB,Solid
260736032,NATE  basic S/S solid tee BB,Solid
260736033,NATE  basic S/S solid tee BB,Solid
261526007,ELLA 5-p shaftless,Other pattern
261526010,ELLA 5-p shaftless,Solid
261606001,THALES tanktop,Solid
261606016,THALES tanktop,Melange
261606022,THALES tanktop,Melange
261840008,ELLA 5-p shaftless,Other pattern
261840009,ELLA 5-p shaftless,Other pattern
262277009,Kim superskinny low waist,Solid
262277011,Kim superskinny low waist,Solid
262277026,Kim superskinny low waist,Solid
262277029,Kim superskinny low waist,Solid
264713001,Al Car Shoe,Solid
264713028,Al Car Shoe,Solid
264984001,Billie,Solid
265069012,PELLE Basic S/S jersey polo SB,Solid
265069014,PELLE Basic S/S jersey polo SB,Solid
265069020,PELLE Basic S/S jersey polo SB,Solid
265069021,PELLE Basic S/S jersey polo SB,Solid
265069024,PELLE Basic S/S jersey polo SB,Solid
265069025,PELLE Basic S/S jersey polo SB,Solid
265069026,PELLE Basic S/S jersey polo SB,Solid
265071012,KRISTOFF Basic jersey polo BB,Solid
265071013,KRISTOFF Basic jersey polo BB,Solid
265071020,KRISTOFF Basic jersey polo BB,Solid
265071021,KRISTOFF Basic jersey polo BB,Solid
265071022,KRISTOFF Basic jersey polo BB,Solid
265071025,KRISTOFF Basic jersey polo BB,Solid
265071027,KRISTOFF Basic jersey polo BB,Solid
265071028,KRISTOFF Basic jersey polo BB,Solid
265071030,KRISTOFF Basic jersey polo BB,Solid
265071034,KRISTOFF Basic jersey polo BB,Solid
265630004,Invisible 3p minishaftless,Solid
265630006,Invisible 3p minishaftless,Solid
266168001,Shaper Shorts (1),Solid
266168003,Shaper Shorts (1),Solid
266873001,Micro 2p minishaftless,Solid
266873006,Micro 2p minishaftless,Solid
266873009,Micro 2p minishaftless,All over pattern
266875001,Sportsneaker 3p socks,Solid
266875006,Sportsneaker 3p socks,Solid
266875012,Sportsneaker 3p socks,Solid
266875014,Sportsneaker 3p socks,Solid
266875015,Sportsneaker 3p socks,Solid
266875019,Sportsneaker 3p socks,Solid
266875022,Sportsneaker 3p socks,Solid
266875024,Sportsneaker 3p socks,Solid
268305001,Kattis cat sunglasses,Solid
268305006,Flirty Kattis Cat (1),Solid
268305007,Kattis cat sunglasses,Solid
268305008,Kattis cat sunglasses,Transparent
268450034,LIAM 2-pack tanktop SB,Mixed solid/pattern
268450035,LIAM 2-pack tanktop SB,Mixed solid/pattern
268450036,LIAM 2-pack tanktop SB,Mixed solid/pattern
269342021,Tina NT s/s,Stripe
269342023,Tina NT s/s,Stripe
269342025,Tina NT s/s,Embroidery
269342026,Tina NT s/s,Application/3D
269342027,Tina NT s/s,All over pattern
270375001,Sandra squared,Solid
270375004,Sandra squared,Solid
270375005,Sandra squared,All over pattern
270375006,Sandra squared,Melange
270381001,Clubba sunglasses,Solid
270381003,Clubba sunglasses,Solid
270381004,Classic Clubba,Solid
270381007,Clubba sunglasses,Solid
270381011,Classic Clubba,Solid
270381013,Clubba sunglasses,Solid
270382001,Burnie sunglasses,Solid
270382004,Burnie sunglasses,Solid
272591001,Lena Rib Dress (1),Solid
272591016,Lena Rib Dress (1),Melange
272591023,Lena Rib Dress (1),Melange
272591026,Lena Rib Dress (1),Stripe
272591028,Lena Rib Dress (1),Solid
272591029,Lena Rib Dress (1),Solid
275362021,Jersey harem shorts,Solid
275362022,Jersey harem shorts,Solid
276242019,Dress LS Basic,All over pattern
276242021,Dress LS Basic,All over pattern
276242022,Dress LS Basic,All over pattern
276242023,Dress LS Basic,All over pattern
276242024,Dress LS Basic,All over pattern
276242025,Dress LS Basic,All over pattern
276242026,LS frill dress,All over pattern
276540021,PEP PJ 9.99,All over pattern
277738002,Basic overall,Melange
277738011,Basic overall,Solid
277738012,Basic overall,Solid
278038005,LORA,Solid
278038027,LORA,Solid
278038028,LORA,All over pattern
278038029,LORA,Solid
278038031,LORA,All over pattern
278038035,LORA,All over pattern
278038036,LORA,Stripe
278563001,Harris cross sandal PQ,Solid
278811002,Hilly Biker 2pk LT,Solid
278811006,Hilly Biker 2pk HW LS,Solid
278811007,Hilly Biker 2pk LT,Solid
278811009,Hilly Biker 2pk HW LS,Solid
278811010,Hilly Biker 2pk LT,Solid
278811011,Hilly Biker 2pk HW LS,Solid
280256001,Mirage Push,Solid
280256006,Mirage Push,Solid
282832001,Kevin softshell jacket (1),Solid
282832012,Kevin softshell jacket,Solid
282832014,Kevin softshell jacket (1),Solid
282832015,Kevin softshell jacket (1),All over pattern
282832017,Kevin softshell jacket (1),All over pattern
282832018,Kevin softshell jacket (1),Solid
282832019,Kevin softshell jacket (1),Solid
282832021,Kevin softshell jacket (1),All over pattern
282832022,Kevin softshell jacket (1),All over pattern
283236014,Howie SS Shirt,Chambray
283236018,Howie SS Shirt,Chambray
283236020,Howie SS Shirt,Chambray
283236022,Howie SS Shirt,Chambray
283236023,Howie SS Shirt,Chambray
283236026,Howie SS Shirt,Chambray
283236027,Howie SS Shirt,Chambray
283236028,Howie SS Shirt,Chambray
283236029,Howie SS Shirt,Chambray
283236034,Howie SS Shirt,Melange
283532005,Hanny Padded bra E&F,Lace
283937018,MASOLO PJ LONG LEG 14.99,Mixed solid/pattern
283937019,MASOLO PJ LONG LEG 14.99,Front print
283937023,MASOLO PJ LONG LEG 14.99,Mixed solid/pattern
284985037,BUDDY 2-pack L/S,Mixed solid/pattern
284985039,BUDDY 2-pack L/S,All over pattern
284985044,BUDDY 2-pack L/S,Dot
284985045,BUDDY 2-pack L/S,Stripe
285143024,HOLMES Sweat Trousers,Melange
285602012,SS body with collar,Solid
286536007,Layla Push,Solid
287645002,Microtights 2pk SG,Solid
287645003,Microtights 2pk SG,Solid
287645013,2-p micro tights SG,Solid
287645022,2-p micro tights SG,Solid
287645023,2-p micro tights SG,Solid
287645027,Microtights 2pk SG,Solid
287645029,Microtights 2pk SG,Solid
287645031,Microtights 2pk SG,Solid
288575010,Basic s/s henley body,Stripe
288575011,Basic s/s henley body,Stripe
288825012,2-p Babsan tights BG,Other pattern
288825017,2-p Babsan tights BG,Other pattern
288825018,2-p Babsan tights BG,Other pattern
288825019,2-p Babsan tights BG,Other pattern
288825021,Babsan 2-p tights BG,Other pattern
288825022,Babsan 2-p tights BG,Other pattern
288825024,Babsan 2-p tights BG,Other pattern
288825029,Babsan 2-p tights,Mixed solid/pattern
288859004,Kakan 2-p cableknit BG,Solid
288859009,Kakan 2-p cableknit BG,Solid
288859013,Kakan 2-p cableknit BG,Solid
288859017,Kakan 2PACK tights BG,Solid
288859018,Kakan 2-p cableknit BG,Solid
288859020,Kakan 2-p cableknit BG,Solid
289597012,UMBRELLA,Solid
289597015,UMBRELLA,All over pattern
289597016,UMBRELLA,All over pattern
289597022,UMBRELLA,Solid
289834016,FANTASTIC SHOPPER,Placement print
290022001,Boris cap,Solid
